message;severity;node;stamp;location
"Deactivating";"20";"robot_0.waypoint_follower";"1771375398.448997765";"./src/waypoint_follower.cpp:on_deactivate:121"
"Running Nav2 LifecycleNode rcl preshutdown (waypoint_follower)";"20";"robot_0.waypoint_follower";"1771375398.448911584";"./src/lifecycle_node.cpp:on_rcl_preshutdown:92"
"Running Nav2 LifecycleManager rcl preshutdown (lifecycle_manager_navigation)";"20";"robot_0.lifecycle_manager_navigation";"1771375398.448910416";"./src/lifecycle_manager.cpp:onRclPreshutdown:386"
"Goal failed";"40";"robot_0.bt_navigator";"1771375393.866211654";"/opt/ros/humble/include/nav2_behavior_tree/bt_action_server_impl.hpp:executeCallback:269"
"[navigate_to_pose] [ActionServer] Aborting handle.";"30";"robot_0.bt_navigator";"1771375393.817996603";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"[follow_path] [ActionServer] Aborting handle.";"30";"robot_0.controller_server";"1771375393.339825221";"/opt/ros/humble/include/nav2_util/simple_action_server.hpp:warn_msg:605"
"Controller patience exceeded";"40";"robot_0.controller_server";"1771375393.339255055";"./src/controller_server.cpp:computeControl:422"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375393.338996963";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375393.205022475";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375393.204800977";"./src/controller_server.cpp:computeControl:416"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375393.204418919";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Unable to transform robot pose into global plan's frame";"30";"robot_0.controller_server";"1771375393.049594239";"./src/controller_server.cpp:computeAndPublishVelocity:490"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375392.956832073";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375392.267051216";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375391.791097048";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375391.463909893";"./src/controller_server.cpp:computeControl:416"
"Control loop missed its desired rate of 20.0000Hz";"30";"robot_0.controller_server";"1771375391.306605728";"./src/controller_server.cpp:computeControl:416"
"Received a goal, begin computing control effort.";"20";"robot_0.controller_server";"1771375390.851949217";"./src/controller_server.cpp:computeControl:361"
