x,y,z
-2.256339084238899,-0.3246762738253346,-0.6153024162114427
-2.2586215624800507,-0.3246337800092627,-0.6163214722987205
-2.2357894686651676,-0.3052373551342542,-0.5623889597790681
-2.0306034325999054,-0.28921316834929955,-0.4325167158186244
-2.069817129471559,-0.2888693281708241,-0.35693793727243245
-2.1005854945177083,-0.28787620616555687,-0.4719750597927591
-2.105352955609218,-0.28766249586510173,-0.5042197994015933
-2.2436068601523744,-0.2851794418675129,-0.5440431985597862
-2.213034442161772,-0.28540784117309936,-0.6125286903722106
-2.2328437952068043,-0.28510719841555066,-0.604945928533393
-2.2997561856716087,-0.565974337023064,-0.13559973712857398
-2.309619049761552,-0.5657225601716779,-0.15643022810200408
-2.2933064487632007,-0.5460230100989298,-0.1492138720884235
-2.439720309507215,-0.5633004126555786,-0.21451642507684346
-2.079814592688683,-0.48884063724343507,-0.33061811212634135
-2.295875262040212,-0.48478407083108976,-0.4352960456862607
-2.37183174745169,-0.4434543362969394,-0.4474390036826799
-2.386167877905724,-0.4039079348281005,-0.2787514604241236
-2.4223595878572315,-0.403052390021426,-0.3387153460648079
-2.3783366174614957,-0.4035084850277446,-0.4066712568950046
-2.089745910548848,-0.36869304853277907,-0.3217632513369587
-2.0827727558340343,-0.3613216524365255,-0.31867497179913684
-2.427658592041265,-0.56379759426826,-0.14342313423045774
-2.363105678732773,-0.5467227706776072,0.30148237206713846
-2.37092307021998,-0.5266648574108659,0.31982813328642035
-2.3556368612246787,-0.5267790570636592,0.2855853873802081
-2.3787477731105495,-0.5264283071798523,0.2944319428588287
-2.3624770787759846,-0.5092283829552606,0.3016379284470798
-1.3711318707945677,-0.4019868588260398,-1.227392183285502
-1.3338578989879897,-0.35767349461637443,-1.210900618233126
-1.6385789574371183,-0.36254725172000724,-1.2154995948096876
-1.3202745978817745,-0.3377754608635437,-1.2404947012825411
-1.4156918623591732,-0.33614671045253397,-1.2475036739724943
-1.5283162621517778,-0.5760881575810075,-0.8151269441322808
-1.518815498271279,-0.4150690401570831,-1.093416170553471
-1.4845365122214265,-0.4156049919255502,-1.1027522011371418
-1.521056164079858,-0.41492509086839946,-1.1190570985335877
-1.5093923328913827,-0.40013980485982037,-1.113899595545222
-1.4640068691013917,-0.33920160997544335,-0.9186232601894756
-1.663203764635039,-0.3531776726638056,-0.9636947445157192
-1.6548842470321061,-0.3624254387570276,-1.1789739991763946
-1.5512306786939047,-0.4960461336638431,-0.7298000696375214
-1.5798620694815302,-0.440833579009001,-0.6633692781949305
-1.738211173850431,-0.43092955940414135,-0.6026760722084015
-1.705642501324241,-0.4336728111782566,-0.675737633900317
-1.7909942086400645,-0.4276282195358547,-0.5824450035462252
-1.6689548458858132,-0.4147615273406027,-0.56086228552988
-1.7538459568248441,-0.3908137328706587,-0.5659845497698377
-1.6327837680064938,-0.3754398015170639,-0.5421086116010824
-1.627185485042629,-0.3454823578901176,-0.5533984151325334
-1.680219959814978,-0.35717877311076984,-0.5332295690223336
-1.7002666954232781,-0.34662218162397274,-0.5860185803507552
-1.8993797776293535,-0.35559899261602235,-0.6310693238263398
-1.7163624516993363,-0.3340022394202111,-0.549441132590815
-2.0327974675180576,-0.5320979241312938,-0.3396008589583843
-1.8367202753873126,-0.41195623187500163,-0.5591049144955681
-1.9873769544106599,-0.4104236400769945,-0.31973064245896293
-2.0266677185938002,-0.4096467108123729,-0.348224107025566
-2.060416258127523,-0.4090638379626932,-0.3523404372518552
-1.6835705482605396,-0.3746533141173063,-0.5264536128183971
-1.7596670937764631,-0.37327067207244613,-0.5522148584300469
-2.009531230201605,-0.37000468834577216,-0.329755276526471
-2.016050723018137,-0.3697015631480325,-0.37647143303254293
-2.029738281061685,-0.34962523721587346,-0.3388438179093366
-2.0136844314494127,-0.3647448052677915,-0.3754316360946062
-1.9321160768106873,-0.3628542442345326,-0.5580492438357421
-1.9826925698960989,-0.33038426458963466,-0.34528445438106325
-2.0253267053526507,-0.32965868367136664,-0.3478922534150245
-1.9788605645391304,-0.33038745063468,-0.3600006088308261
-2.026464665696398,-0.32931943674764597,-0.42505977490789987
-2.0291515877686823,-0.3146304753416831,-0.3386986319547247
-1.9896024491243156,-0.29018096798381743,-0.36492996246194476
-1.9799583573148953,-0.571314738437462,-0.1406631162667035
-2.032741486335742,-0.5704115689447202,-0.14506428992269546
-2.0194934385398144,-0.570510541977141,-0.17474133637474606
-2.074314257603969,-0.5576012939863031,-0.05141559898573489
-2.1109596294537587,-0.5644202704736218,-0.06775160765816934
-2.082005929099818,-0.5300445031750924,-0.03303872649046474
-2.0157656901201793,-0.5305393683371966,-0.18142395875071776
-2.0529830382250323,-0.5303122102517055,-0.08578900776584858
-2.064395429430792,-0.530099741171346,-0.09088428820223798
-2.0044297066074153,-0.5135315557025968,-0.10797522519994529
-2.0411169851209903,-0.5228501580380718,-0.12432160429770911
-2.0991630495642015,-0.5295092550114799,-0.09271776870144643
-2.044942244461874,-0.5174146312105672,-0.2136569521100825
-1.967204952867986,-0.49153918037681543,-0.1352359822197726
-2.0059234581024237,-0.49061387455836947,-0.20180367948917438
-2.054267067938685,-0.4901000591156066,-0.13030112529209395
-2.0402442565848493,-0.4901793782625141,-0.16784577701266487
-2.005351199153721,-0.4904654980045451,-0.2398779121919731
-2.02035783622833,-0.4909131101062092,-0.0713562957386874
-2.024057375577856,-0.4779787057342353,-0.1606605322750726
-2.0516148353580363,-0.4898654537095428,-0.19756292934189318
-2.041542909105229,-0.4896099531978704,-0.29984179783265746
-2.1255467458335238,-0.461813797736228,-0.030800824586370013
-2.1092414562385358,-0.4619356106992074,-0.06732642021966306
-2.0112420920134646,-0.4526679850844588,-0.2864385123181037
-2.0646956334236726,-0.48936065878667523,-0.2663733704611981
-1.9828397358423993,-0.45142335384333276,-0.09854445978120879
-2.010229474736223,-0.45091342805046986,-0.1107731328285434
-1.9818559101216269,-0.45089642259476115,-0.22952142451392354
-2.1002299518619223,-0.4497831004722368,-0.019539355499666178
-2.095337053472694,-0.44969244435485667,-0.06116023156934863
-2.0301158950927425,-0.4501796962067748,-0.20726261410252086
-2.088482307345875,-0.4299985627673448,-0.014361111660641357
-2.1151464065177263,-0.44939180159730796,-0.05357746973053107
-2.134467125479202,-0.44914569323115816,-0.03482519680883445
-2.080002474491162,-0.4490691885036686,-0.27334083626687256
-2.072827097860782,-0.4490210262023606,-0.31394265624927714
-2.092726633324618,-0.44955929442140485,-0.10380016372630901
-1.9710847799229887,-0.4118174531027132,-0.049624264295310416
-2.0447799674537004,-0.4108089384874598,0.005083917400273752
-1.9498446852749869,-0.4093489841001563,-0.1277603655729565
-2.06466638781022,-0.41007520664376473,-0.09140556387370363
-2.0187653830044647,-0.3959273278762643,-0.07096221957616944
-2.088063240708016,-0.40500230428578043,-0.014257407407347156
